1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,9,10,11,9,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2
4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,10,11,9,10,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1
3,2,1,4,3,2,1,4,3,2,1,4,3,2,13,14,13,14,13,14,13,14,13,14,13,14,1,4,3,2,1,4,3,2,1,4,3,2,1,4
2,1,4,3,2,1,4,3,2,1,4,3,2,1,14,13,14,49,14,13,14,13,49,13,14,13,4,3,2,1,4,3,2,1,4,3,2,1,4,3
1,4,3,2,1,4,3,2,1,4,3,2,1,4,13,14,13,14,13,15,15,14,13,14,13,14,3,2,1,4,3,2,1,4,3,2,1,4,3,2
4,3,2,1,4,3,2,1,4,3,2,1,4,3,14,13,14,13,14,51,51,13,14,13,14,13,2,1,4,3,2,1,4,3,2,1,4,3,2,1
3,2,1,4,3,2,1,4,3,2,1,4,3,2,13,14,54,14,13,14,13,14,13,55,13,14,1,4,3,2,1,4,3,2,1,4,3,2,1,4
2,1,4,3,2,1,4,3,2,1,4,3,2,1,14,41,41,41,14,13,14,13,41,41,41,13,4,3,2,1,4,3,2,1,4,3,2,1,4,3
1,4,3,2,1,4,3,2,1,4,3,2,1,4,13,14,13,14,13,47,47,14,13,14,13,14,3,2,1,4,3,2,1,4,3,2,1,4,3,2
4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,9,10,11,9,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1
3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,10,17,18,10,1,4,3,2,1,4,21,22,21,22,21,22,21,22,3,2,1,4
2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,11,9,10,11,4,3,2,1,4,3,22,21,22,21,22,21,22,21,2,1,4,3
1,4,3,2,41,42,43,46,46,42,43,44,1,4,3,2,1,4,9,10,11,9,3,2,1,4,3,2,21,22,57,22,21,22,21,22,1,4,3,2
4,3,2,1,42,13,13,13,13,13,13,41,4,3,2,1,4,3,10,17,18,10,2,1,4,3,2,1,22,21,22,33,33,21,22,21,4,3,2,1
3,2,1,4,43,13,58,13,13,13,13,42,3,2,1,4,3,2,11,9,10,11,1,4,3,2,1,4,21,22,21,33,33,22,21,22,3,2,1,4
2,1,4,3,44,13,13,13,52,13,13,43,2,1,4,3,2,1,9,10,11,9,4,3,2,1,4,3,22,21,22,21,22,21,22,21,2,1,4,3
1,4,3,2,41,13,13,53,13,13,13,44,1,4,3,2,1,4,10,17,18,10,3,2,1,4,3,2,21,22,21,22,21,57,21,22,1,4,3,2
4,3,2,1,42,13,13,13,13,13,13,41,4,3,2,1,4,3,11,9,10,11,2,1,4,3,2,1,22,21,22,21,22,21,22,21,4,3,2,1
3,2,1,4,43,13,13,13,13,13,13,42,3,2,1,4,3,2,9,10,11,9,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
2,1,4,3,44,41,42,43,44,41,42,43,2,1,4,3,2,1,10,17,18,10,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3
1,26,27,28,25,26,27,2,1,4,3,2,1,4,3,2,1,4,11,9,10,11,3,2,1,4,29,29,29,29,29,29,29,29,3,2,1,4,3,2
4,27,28,25,26,27,28,1,4,3,2,1,4,3,2,1,4,3,9,10,11,9,2,1,4,3,29,29,29,29,29,29,29,29,2,1,4,3,2,1
3,28,25,26,27,28,25,4,19,20,19,20,19,20,19,20,3,2,10,17,18,10,1,4,3,2,29,29,29,29,29,29,29,29,1,4,3,2,1,4
2,25,26,27,28,25,26,3,19,20,19,20,19,20,19,20,2,1,11,9,10,11,4,3,2,1,29,29,29,29,29,29,29,29,4,3,2,1,4,3
1,26,27,28,25,26,27,2,19,20,19,20,19,20,19,20,1,4,9,56,56,9,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2
4,27,28,25,26,27,28,1,19,20,19,20,19,20,19,20,4,3,10,17,18,10,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1
3,28,25,26,27,28,25,4,19,20,19,20,19,20,19,20,3,2,11,9,10,11,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,9,10,11,9,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3
